variable_1,variable_2,pearson,spearman,max_abs
corine_compat_media_0_3,pvgis_coef_variacion_mensual,-0.1885880793458445,-0.228248623998315,0.228248623998315
pvgis_produccion_anual_kwh_kwp,digital_exchanges_centrales_telecom_1000km2,0.21334507739863082,0.22040125208785455,0.22040125208785455
pvgis_coef_variacion_mensual,ambiental_penalizacion_media_0_1,-0.1829676120624305,-0.21807913084987524,0.21807913084987524
digital_torres_mastiles_1000km2,temperatura_media_2m_c,0.20823145147629393,0.21513269339356295,0.21513269339356295
corine_compat_media_0_3,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,0.13106519782251277,0.21513269339356295,0.21513269339356295
pvgis_coef_variacion_mensual,digital_torres_mastiles_1000km2,0.2149489004953499,0.16214691853345645,0.2149489004953499
digital_exchanges_centrales_telecom_1000km2,precipitation_daily_mean_mm_2024_2025,-0.17458716554782688,-0.21236939564733323,0.21236939564733323
digital_torres_mastiles_1000km2,precipitation_daily_mean_mm_2024_2025,0.1999775281354672,0.20496894409937888,0.20496894409937888
corine_compat_media_0_3,electrica_densidad_alta_tension_km_1000km2,0.19152836081027177,0.07848673066064371,0.19152836081027177
electrica_densidad_subestaciones_1000km2,temperatura_media_2m_c,0.19088677663714596,0.16205533596837945,0.19088677663714596
ambiental_densidad_sitios_1000km2,punto_rocio_medio_c,-0.11278997571268926,-0.189158667419537,0.189158667419537
densidad_poblacion,ambiental_penalizacion_media_0_1,0.030569754367655032,0.18690005646527386,0.18690005646527386
corine_compat_media_0_3,digital_torres_mastiles_1000km2,0.18687482276627743,-0.034443817052512704,0.18687482276627743
logistica_road_alta_capacidad_km_por_1000km2,pvgis_produccion_anual_kwh_kwp,-0.13175239690715387,-0.18135596114717603,0.18135596114717603
pvgis_coef_variacion_mensual,electrica_densidad_subestaciones_1000km2,0.17549170182060023,0.14011301671183693,0.17549170182060023
ambiental_penalizacion_media_0_1,digital_exchanges_centrales_telecom_1000km2,-0.17469934788815683,-0.11239763227079605,0.17469934788815683
pvgis_produccion_anual_kwh_kwp,electrica_densidad_subestaciones_1000km2,-0.01903216746146762,-0.1740113272066362,0.1740113272066362
pvgis_produccion_anual_kwh_kwp,electrica_densidad_alta_tension_km_1000km2,-0.1588235767027658,-0.17062149615715627,0.17062149615715627
logistica_road_alta_capacidad_km_por_1000km2,pvgis_coef_variacion_mensual,0.17018429423923734,0.14971753801869672,0.17018429423923734
nivel_formativo_terciario,electrica_densidad_subestaciones_1000km2,-0.1631653125064754,0.016944366673989353,0.1631653125064754
pvgis_produccion_anual_kwh_kwp,punto_rocio_medio_c,0.11689225637239199,0.16271189037503644,0.16271189037503644
logistica_road_alta_capacidad_km_por_1000km2,ambiental_densidad_sitios_1000km2,0.16240870151839062,0.1259175607001694,0.16240870151839062
logistica_road_alta_capacidad_km_por_1000km2,precipitation_daily_mean_mm_2024_2025,0.15305751653846955,0.15979672501411632,0.15979672501411632
nivel_formativo_terciario,corine_compat_media_0_3,-0.1142203079694604,-0.15249930006590418,0.15249930006590418
pvgis_perdidas_totales_pct,digital_exchanges_centrales_telecom_1000km2,0.1524725742069439,0.09381181499124065,0.1524725742069439
nivel_formativo_terciario,digital_torres_mastiles_1000km2,-0.15160991991194797,-0.14572155339630843,0.15160991991194797
pvgis_produccion_anual_kwh_kwp,digital_torres_mastiles_1000km2,-0.027936917361608936,-0.1508474817018567,0.1508474817018567
pvgis_perdidas_totales_pct,digital_data_centers_osm_n,0.15079058967751816,0.14776485490568117,0.15079058967751816
ambiental_densidad_sitios_1000km2,precipitation_daily_mean_mm_2024_2025,0.14875529244376876,0.11236589497459062,0.14875529244376876
logistica_places_n_por_1000km2,digital_data_centers_osm_n,0.14791809824881877,0.10056126153149288,0.14791809824881877
logistica_road_alta_capacidad_km_por_1000km2,ambiental_penalizacion_media_0_1,-0.14420917676046477,-0.10897797854319594,0.14420917676046477
digital_torres_mastiles_1000km2,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,-0.03455744520973208,-0.14398644833427443,0.14398644833427443
nivel_formativo_terciario,logistica_places_n_por_1000km2,0.09853785170571142,0.14289749228397688,0.14289749228397688
pvgis_coef_variacion_mensual,punto_rocio_medio_c,-0.11493396610606578,-0.1412429603949969,0.1412429603949969
digital_data_centers_osm_n,temperatura_media_2m_c,-0.13932390888489846,-0.08159828078555421,0.13932390888489846
ambiental_densidad_sitios_1000km2,digital_data_centers_osm_n,0.13904942990694183,0.06953092940177508,0.13904942990694183
